BASE_DATE,ID_KISP,CLEAN_PRICE,MAT_YLD,MAT_MOD_DUR,MAT_CONVEX
20170722,XS1388938802,97.22751544,0.0305531,7.7187867,32.2226783
20170723,XS1388938802,97.22933449,0.0305517,7.7160663,32.2016317
20170724,XS1388938802,97.23115316,0.0305503,7.713346,32.1805925
20170725,XS1388938802,97.3113251,0.0304439,7.7112774,32.1631643
20170726,XS1388938802,97.25465335,0.0305209,7.7082362,32.1403782
20170727,XS1388938802,96.6689596,0.0313103,7.7011137,32.0959391
20170728,XS1388938802,97.03514874,0.0308179,7.7007975,32.087457
20170729,XS1388938802,96.87373195,0.0310364,7.6966808,32.0588933
20170730,XS1388938802,96.87564736,0.0310351,7.6939613,32.0379106
20170731,XS1388938802,96.87756277,0.0310337,7.6912419,32.0169354
20170801,XS1388938802,96.98040252,0.030895,7.6891977,31.9995946
20170802,XS1388938802,96.84907089,0.0310733,7.6855224,31.9735964
20170803,XS1388938802,97.16076974,0.0306545,7.6851212,31.9648936
20170804,XS1388938802,97.17140764,0.0306413,7.6827318,31.9458888
20170805,XS1388938802,97.44299819,0.0302775,7.6819888,31.9354709
20170806,XS1388938802,97.44471599,0.0302762,7.6792686,31.9145243
20170807,XS1388938802,97.44643353,0.0302748,7.6765484,31.8935851
20170808,XS1388938802,97.13359967,0.0306966,7.671486,31.8601762
20170809,XS1388938802,97.21858415,0.0305832,7.6694028,31.8426381
20170810,XS1388938802,97.26074433,0.0305275,7.6669649,31.8232235
20170811,XS1388938802,97.31626599,0.0304539,7.6646156,31.8043187
20170812,XS1388938802,97.64867202,0.0300083,7.664476,31.79719
20170813,XS1388938802,97.65038985,0.0300069,7.6617564,31.7762945
20170814,XS1388938802,97.65210747,0.0300056,7.6590368,31.7554063
20170815,XS1388938802,97.60349684,0.0300717,7.6555185,31.729986
20170816,XS1388938802,97.60526174,0.0300703,7.6527996,31.7091179
20170817,XS1388938802,97.16915844,0.0306587,7.6471616,31.6729957
20170818,XS1388938802,97.43975924,0.0302948,7.6464128,31.6625137
20170819,XS1388938802,97.71899191,0.0299204,7.6457247,31.6524525
20170820,XS1388938802,97.72069984,0.029919,7.6430053,31.631609
20170821,XS1388938802,97.72240757,0.0299176,7.6402859,31.610773
20170822,XS1388938802,97.67358486,0.0299841,7.6372674,31.5884578
20170823,XS1388938802,97.64376435,0.0300252,7.6343046,31.566364
20170824,XS1388938802,97.60906363,0.0300728,7.6313047,31.5440847
20170825,XS1388938802,97.81119476,0.0298019,7.6301747,31.5317616
20170826,XS1388938802,97.78189156,0.0298422,7.6274437,31.5110539
20170827,XS1388938802,97.78354623,0.0298408,7.6247236,31.4902567
20170828,XS1388938802,97.78520068,0.0298395,7.6220035,31.4694669
20170829,XS1388938802,97.89759555,0.0296893,7.6201933,31.4535375
20170830,XS1388938802,98.21903374,0.0292589,7.6197305,31.4443784
20170831,XS1388938802,98.03294736,0.0295091,7.6154543,31.4152789
20170901,XS1388938802,98.04574335,0.029492,7.6128802,31.3954637
20170902,XS1388938802,98.22809917,0.0292482,7.6115012,31.3816993
20170903,XS1388938802,98.22959095,0.0292469,7.6087812,31.3609456
20170904,XS1388938802,98.23108313,0.0292457,7.6060612,31.3401992
20170905,XS1388938802,97.90314056,0.0296869,7.6008114,31.3060939
20170906,XS1388938802,98.1161032,0.0294014,7.5995462,31.2929002
20170907,XS1388938802,98.5787308,0.0287824,7.6001195,31.28928
20170908,XS1388938802,98.46981588,0.0289286,7.5967011,31.2650411
20170909,XS1388938802,99.00509706,0.0282149,7.5977491,31.263946
20170910,XS1388938802,99.0063684,0.0282137,7.595028,31.2432253
20170911,XS1388938802,99.00764008,0.0282124,7.592307,31.2225119
20170912,XS1388938802,98.46786798,0.0289338,7.5856427,31.1812513
20170913,XS1388938802,98.13766867,0.0293779,7.5807518,31.1494487
20170914,XS1388938802,98.02425668,0.0295314,7.5772528,31.1247682
20170915,XS1388938802,97.82349184,0.0298031,7.5731721,31.0970782
20170916,XS1388938802,97.84730687,0.0297718,7.5709214,31.0791535
20170917,XS1388938802,97.84896272,0.0297705,7.5682013,31.0585101
20170918,XS1388938802,97.85061889,0.0297692,7.565481,31.0378739
20170919,XS1388938802,97.60022566,0.0301091,7.5610524,31.008497
20170920,XS1388938802,97.52908853,0.0302067,7.5577368,30.9847227
20170921,XS1388938802,97.44211305,0.0303259,7.5543659,30.9607086
20170922,XS1388938802,97.13965461,0.030739,7.54973,30.9304828
20170923,XS1388938802,97.28309467,0.0305445,7.5480918,30.9155752
20170924,XS1388938802,97.28481457,0.0305433,7.5453705,30.8949879
20170925,XS1388938802,97.28653471,0.0305421,7.5426492,30.8744079
20170926,XS1388938802,97.27570361,0.030558,7.539881,30.8536065
20170927,XS1388938802,97.5014227,0.0302515,7.5388451,30.8417929
20170928,XS1388938802,97.25095573,0.030594,7.5344075,30.8124823
20170929,XS1388938802,96.59333053,0.0314968,7.5265128,30.7649564
20170930,XS1388938802,96.86328415,0.0311271,7.5255253,30.75312
20171001,XS1388938802,96.86521177,0.0311258,7.6272615,31.1593314
20171002,XS1388938802,96.86706218,0.0311244,7.6245377,31.1385181
20171003,XS1388938802,96.86891442,0.031123,7.6218138,31.1177117
20171004,XS1388938802,96.87076646,0.0311216,7.6190899,31.0969128
20171005,XS1388938802,96.87261878,0.0311202,7.616366,31.0761214
20171006,XS1388938802,96.8744709,0.0311188,7.6136422,31.0553375
20171007,XS1388938802,96.87632284,0.0311175,7.6109183,31.034561
20171008,XS1388938802,96.87817483,0.0311161,7.6081944,31.0137919
20171009,XS1388938802,96.88002723,0.0311147,7.6054706,30.9930302
20171010,XS1388938802,96.88187992,0.0311133,7.6027467,30.9722761
20171011,XS1388938802,96.54329086,0.0315814,7.5982667,30.9424599
20171012,XS1388938802,96.5641981,0.0315538,7.5957896,30.9230142
20171013,XS1388938802,96.79560756,0.0312356,7.5948811,30.9120607
